CompanyName,TelNum,Address,Latitude,Longitude
Happy Garden Recycling Centre (Tzu Chi),03-6256 3800,"Jalan Riang Happy Garden Off Jalan Klang Lama, 58200 Kuala Lumpur",3.0833707,101.6835915
HDU Dgreat Sdn Bhd,09-2960576,"Lot 11/129, Kawasan Perindustrian Gebeng, Fasa 2, 26080 Kuantan Pahang",3.9674252,103.4237244
Hom Kim Recycling Co. Sdn. Bhd,08-2266 928,"Lot 1551, Block 71, KCLD, Kang Cheng Light Industrial Estate, 10th Mile, Jalan Kuap Off Jalan Penrissen, 93250, Kuching Sarawak",1.4739225,110.3293087
Hong Wei Carry Services Sdn Bhd,016-555 2402,"No. 18, Jalan Perusahaan 1, Kawasan Perindustrian Parit Hulu, Jeram Bakri, 84200 Muar, Johor",2.0615089,102.6353688
iCYCLE Malaysia Sdn Bhd,03-82111985,"Sungai Chua Warehouse No. 12, Jalan SC 2, Pusat Perindustrian Sungai Chua, 43000 Kajang, Selangor",2.9844514,101.7714545
Infinity Recovery Sdn Bhd,07-3866080,"No 2, Jalan Cenderai 24, Taman Perindustrian Kota Puteri, 81750 Masai, Johor",1.4963558,103.8510257
Innovasi Laman Sdn Bhd,012-4049 941 / 04-4026 173,"No. 84, Jalan Waja 3, Taman Industri Waja, 03000 Kulim, Kedah",5.4236572,100.5654824
Iyan Trading Sdn Bhd,012-4750210,"Lot 5, Kawasan Perindustrian Mukim Jejawi, 02600 Arau, Perlis.",6.44057,100.23034
Jaring Metal Industries Sdn Bhd,03-57408823,"No 7, Jalan Kayu Sg. Ara 32/37, Taman Berjaya, Seksyen. 32, 40460 Shah Alam Selangor",2.9851809,101.5120191
Jenjarom Recycling Centre (Tzu Chi),03-3382 0066 / 0660,"Dewan Orang Ramai Jenjarom, 42600 Kuala Langat, Selangor",2.8762894,101.49828
Jinjang Recycling Centre (Tzu Chi),03-6256 3800,"2376/7 Jalan Jinjang Permai 8 Jinjang Utara, 52000 Kuala Lumpur",3.2168241,101.6627908
